Polarity,Subjectivity,TopWord,Word%,WordCount,WordOccurence,Date
0.120623377,0.475022977,watched,1.234567901,486,6,4/19/2018
0.092727859,0.361357408,trump,4.111600587,681,28,4/19/2018
0.098018341,0.378643009,haley,4.347826087,437,19,4/19/2018
-0.045512821,0.499358974,us,4.411764706,136,6,4/19/2018
0.179892932,0.430207397,bush,3.963414634,328,13,4/19/2018
0.012433155,0.235561497,russia,2.923976608,171,5,4/19/2018
0.101041667,0.369791667,zammar,4.081632653,98,4,4/19/2018
0.068801314,0.431029922,genocide,3.289473684,456,15,4/19/2018
0.120623377,0.475022977,watched,1.234567901,486,6,4/19/2018
0.043205677,0.364957325,iran,4.42804428,542,24,4/19/2018
0.075155962,0.388800878,kim,2.395209581,835,20,4/19/2018
0.075,0.254487179,official,5.660377358,106,6,4/19/2018
0.127497774,0.488202926,trump,4.523424879,619,28,4/19/2018
0.091549226,0.360915306,iran,4.485981308,535,24,4/19/2018
0.04900726,0.361510868,report,3.773584906,848,32,4/19/2018
0.07345667,0.435361592,trump,4.182509506,526,22,4/19/2018
0.035714286,0.375,douma,4,100,4,4/19/2018
0.081452381,0.355333333,union,3.271028037,214,7,4/19/2018
0.018479437,0.451884921,isis,2.564102564,195,5,4/19/2018
0.045932773,0.36962465,us,3.773584906,477,18,4/19/2018
0.092727859,0.361357408,trump,4.105571848,682,28,4/20/2018
0.127497774,0.488202926,trump,4.523424879,619,28,4/20/2018
0.068801314,0.431029922,genocide,3.289473684,456,15,4/20/2018
0.043205677,0.364957325,iran,4.42804428,542,24,4/20/2018
0.075155962,0.388800878,kim,2.398081535,834,20,4/20/2018
0.075,0.254487179,official,5.660377358,106,6,4/20/2018
0.098775403,0.398072541,market,1.916932907,313,6,4/20/2018
0.078617725,0.353080121,trump,2.415458937,207,5,4/20/2018
0.125599914,0.434637379,said,4.076086957,368,15,4/20/2018
0.070376137,0.368799527,us,3.684210526,380,14,4/20/2018
0.090191396,0.366615367,trump,3.3203125,512,17,4/20/2018
0.076295157,0.448571707,oil,4.95049505,404,20,4/20/2018
0.091549226,0.360915306,iran,4.485981308,535,24,4/20/2018
0.04900726,0.361510868,report,3.773584906,848,32,4/20/2018
0.07345667,0.435361592,trump,4.182509506,526,22,4/20/2018
0.035714286,0.375,douma,4,100,4,4/20/2018
0.018479437,0.451884921,isis,2.564102564,195,5,4/20/2018
-0.045512821,0.499358974,us,4.411764706,136,6,4/20/2018
0.179892932,0.430207397,bush,3.963414634,328,13,4/20/2018
0.012433155,0.235561497,russia,2.923976608,171,5,4/20/2018
0.092727859,0.361357408,trump,4.105571848,682,28,4/21/2018
